Name = "inst_P25_T4_M2_K8_C75_S1_V0";
N = 25;
T = 4;
M = 2;
K = 8;

h = [[2 2 2 2],[1 1 1 1],[1 1 1 1],[2 2 2 2],[1 1 1 1],[3 3 3 3],[2 2 2 2],[1 1 1 1],[2 2 2 2],[3 3 3 3],[3 3 3 3],[1 1 1 1],[1 1 1 1],[1 1 1 1],[2 2 2 2],[1 1 1 1],[3 3 3 3],[1 1 1 1],[3 3 3 3],[1 1 1 1],[1 1 1 1],[2 2 2 2],[2 2 2 2],[1 1 1 1],[2 2 2 2]];

b = [[20 20 20 20],[10 10 10 10],[10 10 10 10],[20 20 20 20],[10 10 10 10],[30 30 30 30],[20 20 20 20],[10 10 10 10],[20 20 20 20],[30 30 30 30],[30 30 30 30],[10 10 10 10],[10 10 10 10],[10 10 10 10],[20 20 20 20],[10 10 10 10],[30 30 30 30],[10 10 10 10],[30 30 30 30],[10 10 10 10],[10 10 10 10],[20 20 20 20],[20 20 20 20],[10 10 10 10],[20 20 20 20]];

sigma = [[[100000.0 80.0 92.0 100.0 77.0 55.0 61.0 67.0],[75.0 100000.0 86.0 100.0 88.0 76.0 98.0 79.0],[66.0 73.0 100000.0 62.0 55.0 56.0 57.0 73.0],[89.0 57.0 55.0 100000.0 98.0 81.0 97.0 94.0],[67.0 95.0 88.0 83.0 100000.0 73.0 64.0 96.0],[84.0 99.0 79.0 97.0 92.0 100000.0 98.0 91.0],[78.0 82.0 61.0 88.0 99.0 100.0 100000.0 90.0],[78.0 89.0 54.0 67.0 78.0 99.0 73.0 100000.0]]
[[100000.0 54.0 100.0 91.0 60.0 57.0 65.0 100.0],[59.0 100000.0 99.0 54.0 98.0 55.0 53.0 76.0],[68.0 77.0 100000.0 55.0 61.0 96.0 67.0 73.0],[66.0 83.0 95.0 100000.0 69.0 74.0 59.0 69.0],[82.0 70.0 92.0 94.0 100000.0 62.0 58.0 61.0],[70.0 96.0 61.0 88.0 60.0 100000.0 86.0 69.0],[90.0 54.0 53.0 89.0 60.0 91.0 100000.0 76.0],[56.0 90.0 83.0 82.0 73.0 66.0 82.0 100000.0]]];

d = [[5.00 5.00 9.00 10.00],[8.00 5.00 5.00 12.00],[7.00 7.00 7.00 8.00],[3.00 3.00 4.00 6.00],[5.00 9.00 11.00 6.00],[7.00 8.00 7.00 6.00],[5.00 12.00 9.00 6.00],[3.00 4.00 3.00 6.00],[5.00 12.00 8.00 8.00],[4.00 10.00 7.00 6.00],[4.00 2.00 5.00 6.00],[3.00 9.00 7.00 8.00],[6.00 5.00 12.00 5.00],[7.00 9.00 7.00 5.00],[4.00 9.00 7.00 8.00],[5.00 8.00 11.00 8.00],[7.00 9.00 7.00 9.00],[3.00 2.00 4.00 5.00],[4.00 5.00 3.00 3.00],[3.00 2.00 4.00 3.00],[4.00 6.00 3.00 6.00],[5.00 3.00 3.00 7.00],[3.00 4.00 7.00 3.00],[3.00 2.00 5.00 3.00],[6.00 10.00 6.00 9.00]];

I0 = [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0];

c = [[[0.011700 0.008070 0.010590 0.008050 0.010910 0.011590 0.010780 0.008540],[0.010320 0.010650 0.010120 0.011890 0.011350 0.008850 0.008180 0.010330]]
[[0.010430 0.011530 0.010910 0.010050 0.010980 0.008450 0.011200 0.011860],[0.010070 0.008090 0.010420 0.009220 0.008560 0.009870 0.010270 0.011140]]
[[0.011200 0.010340 0.010750 0.010710 0.009380 0.009430 0.011850 0.010600],[0.009100 0.008960 0.010540 0.010630 0.008880 0.009520 0.010670 0.008450]]
[[0.010140 0.009760 0.009490 0.010530 0.008710 0.010380 0.010350 0.008580],[0.010130 0.010740 0.009240 0.010500 0.009310 0.008390 0.008690 0.008970]]
[[0.009180 0.009570 0.010880 0.008870 0.011010 0.008800 0.011320 0.008570],[0.010960 0.009660 0.008890 0.008300 0.011560 0.009010 0.009900 0.008670]]
[[0.010600 0.008610 0.009570 0.008450 0.008260 0.008360 0.008860 0.008820],[0.010950 0.009270 0.010020 0.009110 0.008510 0.008330 0.008590 0.009210]]
[[0.011470 0.009240 0.009570 0.011830 0.008900 0.011380 0.009120 0.011560],[0.009530 0.008890 0.009760 0.008090 0.010770 0.010180 0.010360 0.010510]]
[[0.010210 0.009870 0.010780 0.009930 0.008300 0.011370 0.008740 0.011510],[0.008700 0.008130 0.008410 0.011050 0.009110 0.009830 0.010510 0.011200]]
[[0.009050 0.009440 0.011490 0.010510 0.011290 0.009470 0.009360 0.008340],[0.011540 0.011400 0.011880 0.010850 0.009020 0.010470 0.008660 0.009140]]
[[0.008520 0.011950 0.010880 0.010700 0.010630 0.011030 0.008140 0.011210],[0.008690 0.008390 0.010210 0.011970 0.009180 0.011680 0.011140 0.009910]]
[[0.009990 0.010910 0.011480 0.009460 0.009530 0.010010 0.008240 0.011270],[0.008880 0.010580 0.008090 0.011010 0.011950 0.009970 0.009550 0.011340]]
[[0.010160 0.009890 0.009740 0.008120 0.008160 0.009590 0.009330 0.010120],[0.009370 0.011750 0.011330 0.009140 0.009920 0.011270 0.011260 0.011940]]
[[0.011530 0.010990 0.010460 0.010860 0.010110 0.010560 0.010090 0.008350],[0.010530 0.008440 0.009370 0.008660 0.008330 0.011400 0.009890 0.011500]]
[[0.008930 0.011360 0.009360 0.009190 0.008940 0.011910 0.010700 0.010040],[0.010280 0.008520 0.009800 0.009450 0.011650 0.008620 0.011810 0.011510]]
[[0.012000 0.011670 0.011520 0.010490 0.010630 0.011280 0.011370 0.011220],[0.010620 0.011610 0.008820 0.009510 0.010040 0.008090 0.010660 0.011680]]
[[0.011710 0.008650 0.009890 0.010500 0.008130 0.009490 0.010780 0.008420],[0.008120 0.009650 0.009780 0.009420 0.009840 0.010390 0.009840 0.010460]]
[[0.010860 0.011550 0.011830 0.009790 0.011820 0.011000 0.008660 0.011130],[0.008400 0.011350 0.009660 0.008880 0.008090 0.008010 0.008990 0.009520]]
[[0.010540 0.010670 0.009570 0.010300 0.008040 0.008440 0.008210 0.010320],[0.008690 0.010720 0.009560 0.011180 0.011040 0.009850 0.010520 0.010250]]
[[0.008700 0.009850 0.010720 0.011800 0.009550 0.011130 0.010670 0.010940],[0.008250 0.011550 0.009230 0.011720 0.008630 0.009740 0.010110 0.010300]]
[[0.010580 0.010960 0.008790 0.008440 0.010070 0.009520 0.009760 0.008420],[0.010920 0.011920 0.009550 0.010500 0.008970 0.010900 0.011170 0.012000]]
[[0.011250 0.010430 0.009640 0.009190 0.010780 0.011730 0.010230 0.009170],[0.011640 0.008700 0.011020 0.008630 0.008910 0.010490 0.011390 0.010930]]
[[0.010100 0.011690 0.010040 0.010410 0.010780 0.008080 0.010330 0.011050],[0.010890 0.010070 0.008290 0.008790 0.008450 0.008070 0.009200 0.008410]]
[[0.009340 0.009760 0.008140 0.008270 0.009630 0.011500 0.008300 0.011930],[0.009220 0.011960 0.008630 0.011790 0.009320 0.010110 0.010310 0.011950]]
