Name = "inst_P10_T4_M2_K8_C95_S5_V0";
N = 10;
T = 4;
M = 2;
K = 8;

h = [[2 2 2 2],[1 1 1 1],[3 3 3 3],[2 2 2 2],[2 2 2 2],[1 1 1 1],[1 1 1 1],[1 1 1 1],[2 2 2 2],[3 3 3 3]];

b = [[20 20 20 20],[10 10 10 10],[30 30 30 30],[20 20 20 20],[20 20 20 20],[10 10 10 10],[10 10 10 10],[10 10 10 10],[20 20 20 20],[30 30 30 30]];

sigma = [[[100000.0 434.0 469.0 346.0 350.0 379.0 271.0 456.0],[310.0 100000.0 262.0 440.0 498.0 377.0 351.0 460.0],[388.0 372.0 100000.0 264.0 266.0 353.0 338.0 386.0],[340.0 485.0 460.0 100000.0 373.0 456.0 456.0 498.0],[472.0 439.0 407.0 431.0 100000.0 413.0 384.0 278.0],[411.0 283.0 340.0 296.0 276.0 100000.0 371.0 471.0],[313.0 462.0 340.0 329.0 313.0 495.0 100000.0 381.0],[396.0 288.0 366.0 345.0 480.0 294.0 489.0 100000.0]]
[[100000.0 481.0 471.0 409.0 417.0 457.0 462.0 453.0],[417.0 100000.0 306.0 348.0 381.0 262.0 419.0 481.0],[483.0 296.0 100000.0 409.0 264.0 347.0 426.0 282.0],[263.0 357.0 365.0 100000.0 368.0 403.0 369.0 406.0],[431.0 473.0 491.0 366.0 100000.0 440.0 296.0 448.0],[281.0 461.0 357.0 310.0 262.0 100000.0 317.0 349.0],[412.0 419.0 352.0 397.0 258.0 283.0 100000.0 398.0],[298.0 423.0 352.0 451.0 442.0 370.0 411.0 100000.0]]];

d = [[13.00 22.00 27.00 16.00],[18.00 27.00 12.00 31.00],[22.00 16.00 22.00 24.00],[12.00 17.00 10.00 9.00],[18.00 23.00 16.00 30.00],[15.00 24.00 16.00 26.00],[19.00 26.00 22.00 17.00],[9.00 15.00 11.00 8.00],[18.00 33.00 20.00 21.00],[16.00 22.00 18.00 26.00]];

I0 = [0 0 0 0 0 0 0 0 0 0];

c = [[[0.011700 0.008070 0.010590 0.008050 0.010910 0.011590 0.010780 0.008540],[0.010320 0.010650 0.010120 0.011890 0.011350 0.008850 0.008180 0.010330]]
[[0.010430 0.011530 0.010910 0.010050 0.010980 0.008450 0.011200 0.011860],[0.010070 0.008090 0.010420 0.009220 0.008560 0.009870 0.010270 0.011140]]
[[0.011200 0.010340 0.010750 0.010710 0.009380 0.009430 0.011850 0.010600],[0.009100 0.008960 0.010540 0.010630 0.008880 0.009520 0.010670 0.008450]]
[[0.010140 0.009760 0.009490 0.010530 0.008710 0.010380 0.010350 0.008580],[0.010130 0.010740 0.009240 0.010500 0.009310 0.008390 0.008690 0.008970]]
[[0.009180 0.009570 0.010880 0.008870 0.011010 0.008800 0.011320 0.008570],[0.010960 0.009660 0.008890 0.008300 0.011560 0.009010 0.009900 0.008670]]
[[0.010600 0.008610 0.009570 0.008450 0.008260 0.008360 0.008860 0.008820],[0.010950 0.009270 0.010020 0.009110 0.008510 0.008330 0.008590 0.009210]]
[[0.011470 0.009240 0.009570 0.011830 0.008900 0.011380 0.009120 0.011560],[0.009530 0.008890 0.009760 0.008090 0.010770 0.010180 0.010360 0.010510]]
[[0.010210 0.009870 0.010780 0.009930 0.008300 0.011370 0.008740 0.011510],[0.008700 0.008130 0.008410 0.011050 0.009110 0.009830 0.010510 0.011200]]
[[0.009050 0.009440 0.011490 0.010510 0.011290 0.009470 0.009360 0.008340],[0.011540 0.011400 0.011880 0.010850 0.009020 0.010470 0.008660 0.009140]]
[[0.008520 0.011950 0.010880 0.010700 0.010630 0.011030 0.008140 0.011210],[0.008690 0.008390 0.010210 0.011970 0.009180 0.011680 0.011140 0.009910]]];

s = [[[100000.00 0.01 0.01 0.01 0.01 0.01 0.00 0.01],[0.01 100000.00 0.00 0.01 0.01 0.01 0.01 0.01],[0.01 0.01 100000.00 0.00 0.00 0.01 0.01 0.01],[0.01 0.01 0.01 100000.00 0.01 0.01 0.01 0.01],[0.01 0.01 0.01 0.01 100000.00 0.01 0.01 0.01],[0.01 0.01 0.01 0.01 0.01 100000.00 0.01 0.01],[0.01 0.01 0.01 0.01 0.01 0.01 100000.00 0.01],[0.01 0.01 0.01 0.01 0.01 0.01 0.01 100000.00]]
[[100000.00 0.01 0.01 0.01 0.01 0.01 0.01 0.01],[0.01 100000.00 0.01 0.01 0.01 0.00 0.01 0.01],[0.01 0.01 100000.00 0.01 0.00 0.01 0.01 0.01],[0.00 0.01 0.01 100000.00 0.01 0.01 0.01 0.01],[0.01 0.01 0.01 0.01 100000.00 0.01 0.01 0.01],[0.01 0.01 0.01 0.01 0.00 100000.00 0.01 0.01],[0.01 0.01 0.01 0.01 0.00 0.01 100000.00 0.01],[0.01 0.01 0.01 0.01 0.01 0.01 0.01 100000.00]]];

R = [[1 1],[1 1],[1 1],[1 0],[1 1],[1 1],[1 1],[1 0],[1 1],[1 1]];

S = [[[0 0 0 0 0 0 1 0],[0 1 0 1 0 0 0 0]]
[[0 0 0 0 0 1 0 1],[1 0 0 0 1 0 0 0]]
[[1 1 0 1 0 0 0 0],[1 0 0 0 0 1 0 0]]
[[0 0 0 0 1 0 0 0],[0 0 0 0 0 0 0 0]]
[[0 0 1 0 1 1 0 0],[1 1 1 1 0 0 0 0]]
[[1 0 1 0 0 0 0 0],[1 0 0 0 0 0 0 0]]
[[0 0 1 0 0 0 1 0],[0 0 0 0 0 0 0 1]]
[[1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]]
[[0 1 0 0 0 0 0 1],[0 0 0 1 1 1 0 1]]
[[0 0 0 0 0 1 0 0],[1 0 1 0 0 1 0 0]]];

alpha0 = [[1 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0]];
